customer_id,full_name,dob,pan,mobile,email,city,annual_income,created_ts,update_ts
C1000,Diya Singh,05-04-2007,JLBIB2876M,9.17756E+11,c1000@example.com,Chennai,443377,03-11-2025 00:00,14-11-2025 00:00
C1001,Kabir Singh,23-08-1979,NAWIQ1462F,9.18106E+11,c1001@example.com,Kolkata,2445150,21-11-2025 00:00,24-11-2025 00:00
C1002,Meera Nair,17-04-2000,GBGRS7166F,9.16512E+11,c1002@example.com,Mumbai,1375791,22-11-2025 00:00,03-12-2025 00:00
C1003,Vihaan Khan,02-09-2020,WTMHM5219V,9.19126E+11,c1003@example.com,Mumbai,1698696,12-11-2025 00:00,14-11-2025 00:00
C1004,Ishaan Singh,14-03-1997,HFXEI9849G,9.16909E+11,c1004@example.com,Chennai,2247752,17-11-2025 00:00,23-11-2025 00:00
C1005,Aarav Singh,15-10-2015,EBTUK4244M,9.18527E+11,c1005@example.com,Hyderabad,1826176,02-11-2025 00:00,14-11-2025 00:00
C1006,Ananya Gupta,02-11-2022,OSSRD4960D,9.17783E+11,c1006@example.com,Kolkata,2259522,11-11-2025 00:00,12-11-2025 00:00
C1007,Riya Singh,07-12-1992,UKVEH0439T,9.17867E+11,,Hyderabad,1479781,23-11-2025 00:00,25-11-2025 00:00
C1008,Ananya Das,29-08-2008,MMBHD7525N,9.1969E+11,c1008@example.com,Pune,1925714,05-11-2025 00:00,16-11-2025 00:00
C1009,Ananya Das,17-08-2019,JBNFR1197O,9.17482E+11,c1009@example.com,Chennai,2040279,13-11-2025 00:00,17-11-2025 00:00
C1010,Saanvi Gupta,27-05-1981,PQCQL0958W,9.18746E+11,c1010@example.com,Kolkata,1320336,06-11-2025 00:00,12-11-2025 00:00
C1011,Aarav Iyer,04-05-2021,TJXGC5407J,9.17749E+11,c1011@example.com,Mumbai,1666969,17-11-2025 00:00,27-11-2025 00:00
C1012,Aditya Gupta,24-05-1990,QGGRD5607D,9.17741E+11,c1012@example.com,Bengaluru,2060719,22-11-2025 00:00,23-11-2025 00:00
C1013,Sara Patel,22-10-1986,RKUNC0665I,9.1873E+11,,Hyderabad,2123657,27-11-2025 00:00,01-12-2025 00:00
C1014,Meera Reddy,13-05-1975,VQQNJ1765G,9.19187E+11,c1014@example.com,Mumbai,2020579,06-11-2025 00:00,18-11-2025 00:00
C1015,Arjun Khan,28-08-1988,NLFGZ8057J,9.18223E+11,c1015@example.com,Hyderabad,1282560,15-11-2025 00:00,25-11-2025 00:00
C1016,Ishaan Sharma,05-02-1987,COBXT5630Q,9.16458E+11,c1016@example.com,Chennai,1722464,02-11-2025 00:00,04-11-2025 00:00
C1017,Saanvi Khan,09-11-2002,SLJKD7615W,9.16317E+11,c1017@example.com,Mumbai,1971247,15-11-2025 00:00,27-11-2025 00:00
C1018,Meera Das,19-06-1979,SOSQF9918D,9.18237E+11,c1018@example.com,Chennai,1606386,17-11-2025 00:00,25-11-2025 00:00
C1019,Aditya Patel,09-07-1996,WTHUB5577E,9.19931E+11,c1019@example.com,Chennai,732815,01-11-2025 00:00,06-11-2025 00:00
C1020,Kabir Nair,16-09-1976,LEQPU9531T,9.16936E+11,,Kolkata,2175259,30-11-2025 00:00,12-12-2025 00:00
C1021,Arjun Das,20-06-1989,SSSRC1170L,9.17737E+11,c1021@example.com,Hyderabad,1739312,09-11-2025 00:00,22-11-2025 00:00
C1022,Vihaan Patel,02-02-2024,PUHOF6540F,9.18657E+11,c1022@example.com,Hyderabad,1190407,16-11-2025 00:00,27-11-2025 00:00
C1023,Meera Patel,25-03-1983,OEYAC9917F,9.17337E+11,,Mumbai,301102,25-11-2025 00:00,29-11-2025 00:00
C1024,Sara Sharma,03-05-2009,SGGTG7703H,9.17848E+11,c1024@example.com,Mumbai,2276398,24-11-2025 00:00,04-12-2025 00:00
C1025,Saanvi Nair,04-07-1982,MGTMM7855S,9.17989E+11,c1025@example.com,Kolkata,1816720,16-11-2025 00:00,30-11-2025 00:00
C1026,Sara Iyer,07-10-1986,BQDKX6915P,9.18735E+11,c1026@example.com,Pune,1668135,05-11-2025 00:00,10-11-2025 00:00
C1027,Diya Singh,19-11-1991,CAQNW5333V,9.17356E+11,c1027@example.com,Hyderabad,2414269,29-11-2025 00:00,30-11-2025 00:00
