customer_id,full_name,dob,pan,mobile,email,city,annual_income,created_ts,update_ts
C1000,Diya Singh,2007-04-05,JLBIB2876M,+917755513757,c1000@example.com,Chennai,443377.0,2025-11-03 00:00:00,2025-11-14 00:00:00
C1001,Kabir Singh,1979-08-23,NAWIQ1462F,+918105915914,c1001@example.com,Kolkata,2445150.0,2025-11-21 00:00:00,2025-11-24 00:00:00
C1002,Meera Nair,2000-04-17,GBGRS7166F,+916512454530,c1002@example.com,Mumbai,1375791.0,2025-11-22 00:00:00,2025-12-03 00:00:00
C1003,Vihaan Khan,2020-09-02,WTMHM5219V,+919126269822,c1003@example.com,Mumbai,1698696.0,2025-11-12 00:00:00,2025-11-14 00:00:00
C1004,Ishaan Singh,1997-03-14,HFXEI9849G,+916908954886,c1004@example.com,Chennai,2247752.0,2025-11-17 00:00:00,2025-11-23 00:00:00
C1005,Aarav Singh,2015-10-15,EBTUK4244M,+918526657595,c1005@example.com,Hyderabad,1826176.0,2025-11-02 00:00:00,2025-11-14 00:00:00
C1006,Ananya Gupta,2022-11-02,OSSRD4960D,+917782749946,c1006@example.com,Kolkata,2259522.0,2025-11-11 00:00:00,2025-11-12 00:00:00
C1007,Riya Singh,1992-12-07,UKVEH0439T,+917866884014,,Hyderabad,1479781.0,2025-11-23 00:00:00,2025-11-25 00:00:00
C1008,Ananya Das,2008-08-29,MMBHD7525N,+919690111356,c1008@example.com,Pune,1925714.0,2025-11-05 00:00:00,2025-11-16 00:00:00
C1009,Ananya Das,2019-08-17,JBNFR1197O,+917481838822,c1009@example.com,Chennai,2040279.0,2025-11-13 00:00:00,2025-11-17 00:00:00
C1010,Saanvi Gupta,1981-05-27,PQCQL0958W,+918745912842,c1010@example.com,Kolkata,1320336.0,2025-11-06 00:00:00,2025-11-12 00:00:00
C1011,Aarav Iyer,2021-05-04,TJXGC5407J,+917748607674,c1011@example.com,Mumbai,1666969.0,2025-11-17 00:00:00,2025-11-27 00:00:00
C1012,Aditya Gupta,1990-05-24,QGGRD5607D,+917740866669,c1012@example.com,Bengaluru,2060719.0,2025-11-22 00:00:00,2025-11-23 00:00:00
C1013,Sara Patel,1986-10-22,RKUNC0665I,+918729982014,,Hyderabad,2123657.0,2025-11-27 00:00:00,2025-12-01 00:00:00
C1014,Meera Reddy,1975-05-13,VQQNJ1765G,+919187370345,c1014@example.com,Mumbai,2020579.0,2025-11-06 00:00:00,2025-11-18 00:00:00
C1015,Arjun Khan,1988-08-28,NLFGZ8057J,+918222587842,c1015@example.com,Hyderabad,1282560.0,2025-11-15 00:00:00,2025-11-25 00:00:00
C1016,Ishaan Sharma,1987-02-05,COBXT5630Q,+916458120293,c1016@example.com,Chennai,1722464.0,2025-11-02 00:00:00,2025-11-04 00:00:00
C1017,Saanvi Khan,2002-11-09,SLJKD7615W,+916316789614,c1017@example.com,Mumbai,1971247.0,2025-11-15 00:00:00,2025-11-27 00:00:00
C1018,Meera Das,1979-06-19,SOSQF9918D,+918236828642,c1018@example.com,Chennai,1606386.0,2025-11-17 00:00:00,2025-11-25 00:00:00
C1019,Aditya Patel,1996-07-09,WTHUB5577E,+919930953574,c1019@example.com,Chennai,732815.0,2025-11-01 00:00:00,2025-11-06 00:00:00
C1020,Kabir Nair,1976-09-16,LEQPU9531T,+916935757943,,Kolkata,2175259.0,2025-11-30 00:00:00,2025-12-12 00:00:00
C1021,Arjun Das,1989-06-20,SSSRC1170L,+917737267221,c1021@example.com,Hyderabad,1739312.0,2025-11-09 00:00:00,2025-11-22 00:00:00
C1022,Vihaan Patel,2024-02-02,PUHOF6540F,+918657254159,c1022@example.com,Hyderabad,1190407.0,2025-11-16 00:00:00,2025-11-27 00:00:00
C1023,Meera Patel,1983-03-25,OEYAC9917F,+917337165769,,Mumbai,301102.0,2025-11-25 00:00:00,2025-11-29 00:00:00
C1024,Sara Sharma,2009-05-03,SGGTG7703H,+917847508919,c1024@example.com,Mumbai,2276398.0,2025-11-24 00:00:00,2025-12-04 00:00:00
C1025,Saanvi Nair,1982-07-04,MGTMM7855S,+917989320303,c1025@example.com,Kolkata,1816720.0,2025-11-16 00:00:00,2025-11-30 00:00:00
C1026,Sara Iyer,1986-10-07,BQDKX6915P,+918734802647,c1026@example.com,Pune,1668135.0,2025-11-05 00:00:00,2025-11-10 00:00:00
C1027,Diya Singh,1991-11-19,CAQNW5333V,+917355775222,c1027@example.com,Hyderabad,2414269.0,2025-11-29 00:00:00,2025-11-30 00:00:00
C1028,Kabir Nair,1997-07-17,XIWGM1947B,+917063479845,c1028@example.com,Hyderabad,842930.0,2025-11-15 00:00:00,2025-11-25 00:00:00
C1029,Kabir Khan,2010-05-01,EZBYY8839W,+917797446007,c1029@example.com,Pune,428320.0,2025-11-24 00:00:00,2025-11-27 00:00:00
C1002,Meera Nair,2000-04-17,GBGRS7166F,+916512454530,c1002@example.com,Mumbai,1375791.0,2025-11-22 00:00:00,2025-12-11 00:00:00
C1013,Sara Patel,1986-10-22,RKUNC0665I,+918729982014,c1013@mail.com,Hyderabad,2123657.0,2025-11-27 00:00:00,2025-12-07 00:00:00
C1024,Sara Sharma,2009-05-03,SGGTG7703H,+917847508919,c1024@example.com,Bengaluru,2276398.0,2025-11-24 00:00:00,2025-12-12 00:00:00
C1021,Arjun Das,1989-06-20,SSSRC1170L,+917737267221,c1021@example.com,Hyderabad,1739312.0,2025-11-09 00:00:00,2025-12-02 00:00:00
C1003,Vihaan Khan,2020-09-02,WTMHM5219V,+919126269822,c1003@example.com,Mumbai,1698696.0,2025-11-12 00:00:00,2025-11-19 00:00:00
C1011,Aarav Iyer,2021-05-04,TJXGC5407J,+917748607674,c1011@example.com,Mumbai,1666969.0,2025-11-17 00:00:00,2025-12-07 00:00:00
C1000,,2007-04-05,JLBIB2876M,,c1000@example.com,Chennai,443377.0,2025-11-03 00:00:00,2025-11-15 00:00:00
